x,y,heading,s,dst,angle,delta
-9.994199,-17.927656,1.631289,0.400000,4.709232,0.027695,0.049862
-9.994199,-17.927656,1.631289,0.000000,4.404323,0.069236,0.050967
-9.994298,-17.924671,1.613403,0.400000,4.709232,0.027695,0.049862
-9.994298,-17.924671,1.613403,0.000000,4.427632,0.087122,0.052989
-9.994298,-17.924671,1.613403,0.400000,4.730946,0.045581,0.051868
-9.994298,-17.924671,1.613403,0.000000,4.427632,0.087122,0.052989
-9.994298,-17.924671,1.613403,0.400000,4.730946,0.045581,0.051868
-9.994298,-17.924671,1.613403,0.000000,4.427632,0.087122,0.052989
-9.991532,-17.921135,1.600130,0.400000,4.730946,0.045581,0.051868
-9.991532,-17.921135,1.600130,0.000000,4.446580,0.100394,0.054505
-9.991532,-17.921135,1.600130,0.400000,4.748565,0.058853,0.053371
-9.991532,-17.921135,1.600130,0.000000,4.446580,0.100394,0.054505
-9.991532,-17.921135,1.600130,0.400000,4.748565,0.058853,0.053371
-9.991532,-17.921135,1.600130,0.000000,4.446580,0.100394,0.054505
-9.990688,-17.917624,1.590967,0.400000,4.748565,0.058853,0.053371
-9.990688,-17.917624,1.590967,0.000000,4.458364,0.109558,0.055539
-9.990688,-17.917624,1.590967,0.400000,4.759438,0.068017,0.054396
-9.990688,-17.917624,1.590967,0.000000,4.458364,0.109558,0.055539
-9.990688,-17.917624,1.590967,0.400000,4.759438,0.068017,0.054396
-9.990688,-17.917624,1.590967,0.000000,4.458364,0.109558,0.055539
-9.991859,-17.915493,1.583862,0.400000,4.759438,0.068017,0.054396
-9.991859,-17.915493,1.583862,0.000000,4.466627,0.116663,0.056333
-9.991859,-17.915493,1.583862,0.400000,4.767095,0.075122,0.055183
-9.991859,-17.915493,1.583862,0.000000,4.466627,0.116663,0.056333
-9.991859,-17.915493,1.583862,0.400000,4.767095,0.075122,0.055183
-9.991859,-17.915493,1.583862,0.000000,4.466627,0.116663,0.056333
-9.991422,-17.918604,1.579149,0.400000,4.767095,0.075122,0.055183
-9.991422,-17.918604,1.579149,0.000000,4.476044,0.121376,0.056898
-9.991422,-17.918604,1.579149,0.400000,4.776256,0.079835,0.055746
-9.991422,-17.918604,1.579149,0.000000,4.476044,0.121376,0.056898
-9.991422,-17.918604,1.579149,0.400000,4.776256,0.079835,0.055746
-9.992579,-17.917547,1.575780,0.000000,4.476044,0.121376,0.056898
-9.992579,-17.917547,1.575780,0.400000,4.779484,0.083204,0.056115
-9.992579,-17.917547,1.575780,0.000000,4.479535,0.124745,0.057270
-9.992579,-17.917547,1.575780,0.400000,4.779484,0.083204,0.056115
-9.992579,-17.917547,1.575780,0.000000,4.479535,0.124745,0.057270
-9.992579,-17.917547,1.575780,0.400000,4.779484,0.083204,0.056115
-9.991868,-17.916391,1.573900,0.000000,4.479535,0.124745,0.057270
-9.991868,-17.916391,1.573900,0.400000,4.781873,0.085084,0.056327
-9.991868,-17.916391,1.573900,0.000000,4.482146,0.126625,0.057484
-9.991868,-17.916391,1.573900,0.400000,4.781873,0.085084,0.056327
-9.991868,-17.916391,1.573900,0.000000,4.482146,0.126625,0.057484
-9.991868,-17.916391,1.573900,0.400000,4.781873,0.085084,0.056327
-9.991297,-17.913408,1.572593,0.000000,4.482146,0.126625,0.057484
-9.991297,-17.913408,1.572593,0.400000,4.782077,0.086391,0.056460
-9.991297,-17.913408,1.572593,0.000000,4.482599,0.127932,0.057619
-9.991297,-17.913408,1.572593,0.400000,4.782077,0.086391,0.056460
-9.991297,-17.913408,1.572593,0.000000,4.482599,0.127932,0.057619
-9.991297,-17.913408,1.572593,0.400000,4.782077,0.086391,0.056460
-9.992420,-17.906919,1.571840,0.000000,4.482599,0.127932,0.057619
-9.992420,-17.906919,1.571840,0.400000,4.777835,0.087144,0.056493
-9.992420,-17.906919,1.571840,0.000000,4.478646,0.128685,0.057655
-9.992420,-17.906919,1.571840,0.400000,4.777835,0.087144,0.056493
-9.992420,-17.906919,1.571840,0.000000,4.478646,0.128685,0.057655
-9.992420,-17.906919,1.571840,0.400000,4.777835,0.087144,0.056493
-9.992243,-17.903633,1.571183,0.000000,4.478646,0.128685,0.057655
-9.992243,-17.903633,1.571183,0.400000,4.776621,0.087800,0.056546
-9.992243,-17.903633,1.571183,0.000000,4.477629,0.129341,0.057710
-9.992243,-17.903633,1.571183,0.400000,4.776621,0.087800,0.056546
-9.992243,-17.903633,1.571183,0.000000,4.477629,0.129341,0.057710
-9.992243,-17.903633,1.571183,0.400000,4.776621,0.087800,0.056546
-9.990259,-17.901566,1.571487,0.000000,4.477629,0.129341,0.057710
