x,y,heading,s,dst,angle,delta
-9.896823,-12.442347,1.635569,6.639445,-0.132886,0.000541,-0.026523
-9.896823,-12.442347,1.635569,6.639445,-0.132886,0.000541,-0.026523
-9.896823,-12.442347,1.635569,6.639445,-0.132886,0.000541,-0.026523
-9.893640,-12.444576,1.618714,6.639445,-0.132886,0.000541,-0.026523
-9.893640,-12.444576,1.618714,6.636273,-0.045582,0.017758,-0.007341
-9.893640,-12.444576,1.618714,6.636273,-0.045582,0.017758,-0.007341
-9.893640,-12.444576,1.618714,6.636273,-0.045582,0.017758,-0.007341
-9.893640,-12.444576,1.618714,6.636273,-0.045582,0.017758,-0.007341
-9.893640,-12.444576,1.618714,6.636273,-0.045582,0.017758,-0.007341
-9.891727,-12.447243,1.607495,6.636273,-0.045582,0.017758,-0.007341
-9.891727,-12.447243,1.607495,6.632171,0.012226,0.029445,0.005390
-9.891727,-12.447243,1.607495,6.632171,0.012226,0.029445,0.005390
-9.891727,-12.447243,1.607495,6.632171,0.012226,0.029445,0.005390
-9.891727,-12.447243,1.607495,6.632171,0.012226,0.029445,0.005390
-9.891727,-12.447243,1.607495,6.632171,0.012226,0.029445,0.005390
-9.890128,-12.450198,1.600909,6.632171,0.012226,0.029445,0.005390
-9.890128,-12.450198,1.600909,6.628015,0.046538,0.036510,0.012959
-9.890128,-12.450198,1.600909,6.628015,0.046538,0.036510,0.012959
-9.890128,-12.450198,1.600909,6.628015,0.046538,0.036510,0.012959
-9.890128,-12.450198,1.600909,6.628015,0.046538,0.036510,0.012959
-9.890128,-12.450198,1.600909,6.628015,0.046538,0.036510,0.012959
-9.889298,-12.450307,1.596935,6.628015,0.046538,0.036510,0.012959
-9.889298,-12.450307,1.596935,6.627080,0.067216,0.040592,0.017502
-9.889298,-12.450307,1.596935,6.627080,0.067216,0.040592,0.017502
-9.889298,-12.450307,1.596935,6.627080,0.067216,0.040592,0.017502
-9.889298,-12.450307,1.596935,6.627080,0.067216,0.040592,0.017502
-9.889298,-12.450307,1.596935,6.627080,0.067216,0.040592,0.017502
-9.890972,-12.447332,1.594551,6.627080,0.067216,0.040592,0.017502
-9.890972,-12.447332,1.594551,6.629685,0.077654,0.042676,0.019798
-9.890972,-12.447332,1.594551,6.629685,0.077654,0.042676,0.019798
-9.890972,-12.447332,1.594551,6.629685,0.077654,0.042676,0.019798
-9.890972,-12.447332,1.594551,6.629685,0.077654,0.042676,0.019798
-9.890972,-12.447332,1.594551,6.629685,0.077654,0.042676,0.019798
-9.894270,-12.447492,1.591884,6.629685,0.077654,0.042676,0.019798
-9.894270,-12.447492,1.591884,6.629153,0.087673,0.045404,0.022075
-9.894270,-12.447492,1.591884,6.629153,0.087673,0.045404,0.022075
-9.894270,-12.447492,1.591884,6.629153,0.087673,0.045404,0.022075
-9.894270,-12.447492,1.591884,6.629153,0.087673,0.045404,0.022075
-9.894270,-12.447492,1.591884,6.629153,0.087673,0.045404,0.022075
-9.895523,-12.447655,1.589646,6.629153,0.087673,0.045404,0.022075
-9.895523,-12.447655,1.589646,6.628546,0.097592,0.047713,0.024290
-9.895523,-12.447655,1.589646,6.628546,0.097592,0.047713,0.024290
-9.895523,-12.447655,1.589646,6.628546,0.097592,0.047713,0.024290
-9.895523,-12.447655,1.589646,6.628546,0.097592,0.047713,0.024290
-9.892147,-12.449457,1.589627,6.628546,0.097592,0.047713,0.024290
-9.892147,-12.449457,1.589627,6.626495,0.100932,0.047968,0.024983
-9.892147,-12.449457,1.589627,6.626495,0.100932,0.047968,0.024983
-9.892147,-12.449457,1.589627,6.626495,0.100932,0.047968,0.024983
-9.892147,-12.449457,1.589627,6.626495,0.100932,0.047968,0.024983
-9.892147,-12.449457,1.589627,6.626495,0.100932,0.047968,0.024983
-9.892147,-12.449457,1.589627,6.626495,0.100932,0.047968,0.024983
-9.894033,-12.449282,1.588265,6.626495,0.100932,0.047968,0.024983
-9.894033,-12.449282,1.588265,6.626464,0.105866,0.049334,0.026107
-9.894033,-12.449282,1.588265,6.626464,0.105866,0.049334,0.026107
-9.894033,-12.449282,1.588265,6.626464,0.105866,0.049334,0.026107
-9.894033,-12.449282,1.588265,6.626464,0.105866,0.049334,0.026107
-9.892864,-12.450131,1.588117,6.626464,0.105866,0.049334,0.026107
-9.892864,-12.450131,1.588117,6.625489,0.107717,0.049595,0.026503
-9.892864,-12.450131,1.588117,6.625489,0.107717,0.049595,0.026503
-9.892864,-12.450131,1.588117,6.625489,0.107717,0.049595,0.026503
-9.892864,-12.450131,1.588117,6.625489,0.107717,0.049595,0.026503
